2022年		振替				
月	日	金額	借方科目	摘要	貸方科目	金額
1	1	 ¥2,196 	現金	前年より繰越	前年度繰越金	 ¥2,196 
	1	 ¥5,000 	現金	おつり	事業主借	 ¥5,000 
	5	 ¥37,115 	仕入	1月分仕入	事業主借	 ¥37,115 
	5	 ¥1,650 	荷造運賃	送料	事業主借	 ¥1,650 
	15	 ¥18,000 	損害保険料	カイロプラクティック保険	事業主借	 ¥18,000 
	20	 ¥36,750 	事業主貸	自己消費	自家消費	 ¥36,750 
	24	 ¥21,450 	仕入	シートマスク仕入	事業主借	 ¥21,450 
		 ¥122,161 		1月合計		 ¥122,161 
						
						
2	15	 ¥7,150 	仕入	2月分仕入	事業主借	 ¥7,150 
	15	 ¥7,700 	事業主貸	自己消費	自家消費	 ¥7,700 
	21	 ¥6,000 	研修費	冬期講習（オンライン）	事業主借	 ¥6,000 
		 ¥20,850 		2月合計		 ¥20,850 
						
						
3	5	 ¥110 	雑費	ノート	事業主借	 ¥110 
	15	 ¥974 	雑費	飲み物、クイックルワイパー	事業主借	 ¥974 
	17	 ¥5,000 	車両関係費	4月分駐車場	事業主借	 ¥5,000 
	17	 ¥5,500 	支払手数料	仲介手数料	事業主借	 ¥5,500 
	21	 ¥265 	雑費	飲み物	事業主借	 ¥265 
	27	 ¥2,068 	雑費	スリッパ	事業主借	 ¥2,068 
	31	 ¥110 	雑費	綿棒	事業主借	 ¥110 
	31	 ¥110 	雑費	蛍光ペン	事業主借	 ¥110 
	31	 ¥10,725 	仕入	３月分仕入	事業主借	 ¥10,725 
	31	 ¥1,650 	荷造運賃	送料	事業主借	 ¥1,650 
	31	 ¥7,700 	事業主貸	自己消費	自家消費	 ¥7,700 
		 ¥34,212 		3月合計		 ¥34,212 
						
						
4	1	 ¥198 	雑費	トイレクリーナー	事業主借	 ¥198 
	7	 ¥14,200 	現金	本日の売上	売上	 ¥14,200 
	7	 ¥90,000 	未収金	本日の売上（クレカ）	売上	 ¥90,000 
	8	 ¥86,634 	事業主貸	4/7の売上	未収金	 ¥90,000 
	8	 ¥3,366 	支払手数料			
	8	 ¥1,677 	雑費	ティッシュ、マスク、飲み物	現金	 ¥1,677 
	9	 ¥4,950 	現金	本日の売上	売上	 ¥4,950 
	9	 ¥811 	事業主貸	飲み物、雑貨	現金	 ¥811 
	9	 ¥400 	貯蔵品	収入印紙（200円×2）	現金	 ¥400 
	9	 ¥200 	租税公課	収入印紙使用	貯蔵品	 ¥200 
	9	 ¥53,820 	仕入	４月分仕入	事業主借	 ¥53,820 
	9	 ¥1,650 	荷造運賃	送料	事業主借	 ¥1,650 
	12	 ¥880 	雑費	画用紙、装飾シール	事業主借	 ¥880 
	13	 ¥1,000 	接待交際費	佐橋先生へのプレゼント協賛金	事業主借	 ¥1,000 
	13	 ¥34,000 	研修費	春ブロック会議参加費（オンライン）	事業主借	 ¥34,000 
	14	 ¥11,380 	事業主貸	駐車場、仲介手数料、雑貨	現金	 ¥11,380 
	22	 ¥10,000 	未収金	本日の売上（カード）	売上	 ¥10,000 
	23	 ¥440 	雑費	ホワイトボードマーカ・クリーナー	現金	 ¥440 
	24	 ¥24,750 	現金	本日の売上	売上	 ¥24,750 
	24	 ¥5,050 	事業主貸	駐車場５月分	現金	 ¥5,050 
	25	 ¥209 	雑費	ポスカ	現金	 ¥209 
	25	 ¥5,791 	事業主貸	個人の生活費	現金	 ¥5,791 
	27	 ¥2,500 	寄附金	地区交通安全協会費	現金	 ¥2,500 
	27	 ¥190 	雑費	ノート	事業主借	 ¥190 
	29	 ¥9,676 	普通預金	4/22の売上	未収金	 ¥10,000 
	29	 ¥324 	支払手数料			
	30	 ¥14,812 	消耗品費	サプリメント試食、化粧品商材	仕入	 ¥14,812 
		 ¥378,908 		4月合計		 ¥378,908 
						
						
5	1	 ¥5,000 	車両関係費	ガソリン代	 現金 	 ¥5,000 
	1		旅費交通費	高速代	事業主借	
	2		旅費交通費	高速代	事業主借	
	3	 ¥33,000 	現金	本日の売上	売上	 ¥33,000 
	6	 ¥5,000 	車両関係費	ガソリン代	 現金 	 ¥5,000 
	6	 ¥2,840 	接待交際費	プレゼント（真紀子さん綾奈さん愛美さん）	事業主借	 ¥2,840 
	6		旅費交通費	高速代	事業主借	
	7		旅費交通費	高速代	事業主借	
	15	 ¥220 	雑費	造花	事業主借	 ¥220 
	17	 ¥7,150 	仕入	５月分仕入れ	事業主借	 ¥7,150 
	23	 ¥52,533 	仕入	５月分仕入れ	事業主借	 ¥52,533 
